City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,kavaratti,10.5669,72.642,27.26,83,100,6.51,IN,1723350798
283,kongsberg,59.6652,9.6465,12.87,69,57,2.62,NO,1723350800
284,touros,-5.1989,-35.4608,24.56,83,33,5.59,BR,1723350801
285,flying fish cove,-10.4217,105.6791,25.82,78,100,6.17,CX,1723350802
286,decorah,43.3033,-91.7857,14.51,82,0,1.54,US,1723350803
287,yass,-34.8333,148.9167,18.8,54,6,1.92,AU,1723350804
288,ebon,4.582,168.6964,28.99,66,57,1.68,MH,1723350806
289,ghadamis,30.1337,9.5007,26.79,29,0,4.1,LY,1723350807
290,same,-4.0667,37.7333,18.02,82,36,1.01,TZ,1723350808
291,mahibadhoo,3.7833,72.9667,29.14,73,36,6.73,MV,1723350809
292,clarkston heights-vineland,46.3874,-117.083,26.91,42,9,2.47,US,1723350811
293,cold lake,54.4502,-110.2017,18.97,63,40,2.57,CA,1723350812
294,mangrol,21.1167,70.1167,27.6,82,100,7.89,IN,1723350813
295,pugachev,52.0133,48.8025,20.81,60,41,5.88,RU,1723350814
296,howard springs,-12.497,131.047,32.77,35,14,2.8,AU,1723350815
297,hithadhoo,-0.6,73.0833,28.07,73,17,3.99,MV,1723350818
298,urucara,-2.5364,-57.76,25.97,61,81,0.39,BR,1723350819
299,narasapur,16.45,81.6667,31.92,64,100,2.94,IN,1723350820
300,berezivka,47.2043,30.9078,23.52,53,0,4.23,UA,1723350822
301,eureka,40.8021,-124.1637,15.34,92,39,1.71,US,1723350696
302,anaconda,46.1285,-112.9423,13.36,92,83,2.48,US,1723350824
303,cinarli,41.4723,46.9156,20.09,64,41,1.59,AZ,1723350825
304,nombre de dios,23.85,-104.2333,22.81,52,89,2.82,MX,1723350826
305,sur,22.5667,59.5289,31.0,62,92,0.54,OM,1723350828
306,metu,8.3,35.5833,15.43,95,24,0.94,ET,1723350829
307,atakpame,7.5333,1.1333,20.91,92,100,1.63,TG,1723350830
